"com_name","com_code","nat"
"Allondrelle-la-Malmaison","54011",366.044302290985
"Allonne","60009",265.216009539363
"Allonne","79007",281.746130942077
"Allonnes","28004",247.027799347725
"Allonnes","49002",268.371536179204
"Allonnes","72003",252.046591984506
"Allons","04005",545.065987717893
"Allons","47007",406.144211338502
"Allonville","80020",270.011793963601
"Allonzier-la-Caille","74006",332.446300317354
"Allos","04006",531.953520294749
"Allouagne","62023",241.606264323911
"Alloue","16007",329.801546502347
"Allouis","18005",347.915291008204
"Allouville-Bellefosse","76001",254.643271122454
"Alluy","58004",314.847832702926
"Alluyes","28005",275.063369178525
"Ally","15003",327.32616992045
"Ally","43006",401.838559082257
"Almayrac","81008",300.137126797576
"Almenêches","61002",315.453066996641
"Almont-les-Junies","12004",361.578568781375
"Alos","09008",520.344119664698
"Alos","81007",339.128350226976
"Alos-Sibas-Abense","64017",399.26997767102
"Aloxe-Corton","21010",243.960799385088
"Alquines","62024",313.539971422125
"Alrance","12006",326.159393466384
"Alsting","57013",368.344309234073
"Altagène","2A011",482.385812280408
"Alteckendorf","67005",243.680173854898
"Altenach","68002",357.697376880545
"Altenheim","67006",254.79771953206
"Althen-des-Paluds","84001",232.224094613641
"Altiani","2B012",468.624171792382
"Altier","48004",522.094328039699
"Altillac","19007",387.163514894286
"Altkirch","68004",288.314541424449
"Altorf","67008",254.209572636193
"Altrippe","57014",311.221604837392
"Altviller","57015",318.023770221195
"Altwiller","67009",418.329447480267
"Aluze","71005",313.530201790726
"Alvignac","46003",355.641222310855
"Alvimare","76002",247.892919239763
"Alzen","09009",434.900348478756
"Alzi","2B013",511.094051327696
"Alzing","57016",349.485671979793
"Alzon","30009",475.995751383691
"Alzonne","11009",313.068292858169
"Amage","70011",446.068497339612
"Amagne","08008",270.965879600085
"Amagney","25014",411.333516433214
"Amailloux","79008",282.557887580797
"Amance","10005",445.58147230548
"Amance","54012",394.631600587372
"Amance","70012",390.522285507639
"Amancey","25015",349.126227127505
"Amancy","74007",270.978939121619
"Amange","39008",361.708454464551
"Amanlis","35002",264.304154024211
"Amanty","55005",384.359184849139
"Amanvillers","57017",308.499019447622
"Amanzé","71006",273.194672058458
"Amarens","81009",358.525051588939
"Amathay-Vésigneux","25016",401.252150697122
"Amayé-sur-Orne","14006",264.577236385579
"Amayé-sur-Seulles","14007",257.165677966102
"Amazy","58005",404.351069665387
"Ambacourt","88006",329.142462370649
"Ambarès-et-Lagrave","33003",284.281542226472
"Ambax","31007",325.041966507499
"Ambazac","87002",375.626220191132
"Ambel","38008",457.742680921053
"Ambenay","27009",359.550301190533
"Ambérac","16008",296.64387822634
"Ambérieu-en-Bugey","01004",348.463698093497
